Attrition,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Age Group,Current Employee,Daily Rate,Distance From Home,Distance Status,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Job Satisfaction Status,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Performance Status,Relationship Satisfaction,Stock Option Level,Total Working Years,Experience Status,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Rarely,R&D,Medical,STAFF-436,Male,Manager,Married,Yes,2,33,26-35,0,1277,15,Far,High School,2,56,3,3,3,Unsatisfied,13610,24619,7,12,3,High,4,0,15,11.- 20,4,7,6,7,7
Yes,Travel_Rarely,R&D,Medical,STAFF-437,Male,Laboratory Technician,Divorced,No,2,33,26-35,0,587,10,Near-by,High School,1,38,1,1,4,utterly unsatisfied,3408,6705,7,13,3,High,1,3,8,0-10,3,4,3,1,3
No,Travel_Rarely,Sales,Marketing,STAFF-438,Male,Sales Representative,Single,No,3,30,26-35,1,413,19,Very-far,High School,4,57,3,1,2,Satisfied,2983,18398,0,14,3,High,1,0,4,0-10,3,3,2,1,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-439,Male,Healthcare Representative,Married,Yes,2,35,26-35,1,1276,16,Very-far,Bachelor's Degree,4,72,3,3,3,Unsatisfied,7632,14295,4,12,3,High,3,0,10,0-10,3,8,7,0,0
Yes,Travel_Frequently,R&D,Life Sciences,STAFF-440,Male,Healthcare Representative,Married,No,2,31,26-35,0,534,20,Very-far,Bachelor's Degree,1,66,3,3,3,Unsatisfied,9824,22908,3,12,3,High,1,0,12,11.- 20,3,1,0,0,0
Yes,Travel_Frequently,HR,Human Resources,STAFF-441,Female,Human Resources,Divorced,Yes,2,34,26-35,0,988,23,Very-far,Bachelor's Degree,2,43,3,3,1,Very Satisfied,9950,11533,9,15,3,High,3,3,11,11.- 20,3,3,2,0,2
No,Travel_Frequently,R&D,Other,STAFF-442,Male,Laboratory Technician,Married,No,4,42,36-45,1,1474,33,Very-far,Associates Degree,2,97,3,1,3,Unsatisfied,2093,9260,4,17,3,High,4,1,8,0-10,3,2,2,2,0
No,Non-Travel,Sales,Medical,STAFF-443,Male,Sales Executive,Single,No,3,36,36-45,1,635,10,Near-by,Master's Degree,2,32,3,3,4,utterly unsatisfied,9980,15318,1,14,3,High,4,0,10,0-10,2,10,3,9,7
Yes,Travel_Frequently,R&D,Technical Degree,STAFF-444,Male,Laboratory Technician,Single,No,3,22,18-25,0,1368,4,Near-by,High School,3,99,2,1,3,Unsatisfied,3894,9129,5,16,3,High,3,0,4,0-10,3,2,2,1,2
No,Travel_Rarely,Sales,Marketing,STAFF-445,Female,Sales Executive,Married,No,2,48,46-55,1,163,24,Very-far,Doctoral Degree,2,37,3,2,4,utterly unsatisfied,4051,19658,2,14,3,High,1,1,14,11.- 20,3,9,7,6,7
No,Travel_Rarely,Sales,Life Sciences,STAFF-446,Female,Manager,Single,No,2,55,46-55,1,1117,18,Very-far,Doctoral Degree,1,83,3,4,2,Satisfied,16835,9873,3,23,4,Low,4,0,37,30 Plus,3,10,9,7,7
No,Non-Travel,Sales,Life Sciences,STAFF-447,Male,Sales Executive,Single,No,3,41,36-45,1,267,10,Near-by,Associates Degree,4,56,3,2,4,utterly unsatisfied,6230,13430,7,14,3,High,4,0,16,11.- 20,3,14,3,1,10
No,Travel_Rarely,Sales,Marketing,STAFF-448,Male,Sales Executive,Married,No,2,35,26-35,1,619,17,Very-far,Bachelor's Degree,2,85,3,2,3,Unsatisfied,4717,18659,9,11,3,High,3,0,15,11.- 20,3,11,9,6,9
No,Travel_Rarely,R&D,Life Sciences,STAFF-449,Female,Manufacturing Director,Single,No,3,40,36-45,1,302,28,Very-far,Bachelor's Degree,2,75,3,4,3,Unsatisfied,13237,20364,7,15,3,High,3,0,22,21-30,3,20,6,5,13
No,Travel_Frequently,R&D,Life Sciences,STAFF-450,Female,Laboratory Technician,Married,No,3,39,36-45,1,443,8,Near-by,High School,3,48,3,1,3,Unsatisfied,3755,17872,1,11,3,High,1,1,8,0-10,3,8,3,0,7
No,Travel_Rarely,Sales,Life Sciences,STAFF-451,Male,Sales Executive,Single,Yes,2,31,26-35,1,828,24,Very-far,High School,2,77,3,2,4,utterly unsatisfied,6582,8346,4,13,3,High,3,0,10,0-10,4,6,5,0,5
No,Travel_Rarely,R&D,Medical,STAFF-452,Male,Manufacturing Director,Married,Yes,5,42,36-45,1,319,24,Very-far,Bachelor's Degree,4,56,3,3,1,Very Satisfied,7406,6950,1,21,4,Low,4,1,10,0-10,2,10,9,5,8
No,Travel_Rarely,Sales,Other,STAFF-453,Male,Sales Executive,Married,No,3,45,36-45,1,561,24,Very-far,Bachelor's Degree,4,61,3,2,2,Satisfied,4805,16177,0,19,3,High,2,1,9,0-10,4,8,7,3,7
Yes,Travel_Frequently,HR,Life Sciences,STAFF-454,Female,Human Resources,Divorced,Yes,2,26,26-35,0,426,17,Very-far,Master's Degree,2,58,3,1,3,Unsatisfied,2741,22808,0,11,3,High,2,1,8,0-10,2,7,7,1,0
No,Travel_Rarely,R&D,Technical Degree,STAFF-455,Male,Manufacturing Director,Divorced,No,2,29,26-35,1,232,19,Very-far,Bachelor's Degree,4,34,3,2,4,utterly unsatisfied,4262,22645,4,12,3,High,2,2,8,0-10,4,3,2,1,2
No,Travel_Rarely,R&D,Medical,STAFF-456,Female,Research Director,Divorced,No,2,33,26-35,1,922,17,Very-far,Doctoral Degree,1,95,4,4,3,Unsatisfied,16184,22578,4,19,3,High,3,1,10,0-10,3,6,1,0,5
No,Travel_Rarely,Sales,Life Sciences,STAFF-457,Male,Manager,Divorced,No,3,31,26-35,1,688,19,Very-far,Bachelor's Degree,3,44,2,3,4,utterly unsatisfied,11557,25291,9,21,4,Low,3,1,10,0-10,2,5,4,0,1
Yes,Travel_Frequently,Sales,Marketing,STAFF-458,Male,Sales Representative,Single,Yes,3,18,18-25,0,1306,33,Very-far,Bachelor's Degree,2,69,3,1,2,Satisfied,1878,8059,1,14,3,High,4,0,0,0-10,3,0,0,0,0
No,Non-Travel,Sales,Other,STAFF-459,Male,Sales Executive,Divorced,No,2,40,36-45,1,1094,28,Very-far,Bachelor's Degree,3,58,1,3,1,Very Satisfied,10932,11373,3,15,3,High,3,1,20,11.- 20,3,1,0,0,1
No,Non-Travel,R&D,Other,STAFF-460,Female,Healthcare Representative,Single,Yes,3,41,36-45,1,509,24,Very-far,Master's Degree,1,62,2,2,3,Unsatisfied,6811,2112,2,17,3,High,1,0,10,0-10,3,8,7,0,7
No,Travel_Rarely,Sales,Medical,STAFF-461,Male,Sales Executive,Divorced,No,5,26,26-35,1,775,29,Very-far,Associates Degree,1,45,3,2,3,Unsatisfied,4306,4267,5,12,3,High,1,2,8,0-10,3,0,0,0,0
No,Travel_Rarely,Sales,Medical,STAFF-462,Female,Sales Executive,Single,No,3,35,26-35,1,195,17,Very-far,Bachelor's Degree,1,80,3,2,3,Unsatisfied,4859,6698,1,16,3,High,4,0,5,0-10,3,5,4,0,3
No,Travel_Rarely,Sales,Life Sciences,STAFF-463,Male,Sales Executive,Single,No,3,34,26-35,1,258,21,Very-far,Master's Degree,4,74,4,2,4,utterly unsatisfied,5337,19921,1,12,3,High,4,0,10,0-10,3,10,7,5,7
Yes,Travel_Rarely,R&D,Technical Degree,STAFF-464,Male,Laboratory Technician,Single,Yes,3,26,26-35,0,471,24,Very-far,Bachelor's Degree,3,66,1,1,4,utterly unsatisfied,2340,23213,1,18,3,High,2,0,1,0-10,1,1,0,0,0
No,Travel_Rarely,R&D,Technical Degree,STAFF-465,Female,Manufacturing Director,Single,No,3,37,36-45,1,799,17,Very-far,Bachelor's Degree,2,59,3,3,4,utterly unsatisfied,7491,23848,4,17,3,High,4,0,12,11.- 20,4,6,5,1,2
No,Travel_Frequently,R&D,Medical,STAFF-466,Female,Healthcare Representative,Married,No,3,46,46-55,1,1034,18,Very-far,High School,1,86,3,3,3,Unsatisfied,10527,8984,5,11,3,High,4,0,28,21-30,2,2,2,1,2
No,Travel_Rarely,Sales,Life Sciences,STAFF-467,Female,Manager,Married,No,2,41,36-45,1,1276,24,Very-far,Doctoral Degree,2,91,3,4,1,Very Satisfied,16595,5626,7,16,3,High,2,1,22,21-30,3,18,16,11,8
No,Non-Travel,Sales,Medical,STAFF-468,Male,Sales Executive,Divorced,No,6,37,36-45,1,142,19,Very-far,Master's Degree,1,69,3,3,2,Satisfied,8834,24666,1,13,3,High,4,1,9,0-10,3,9,5,7,7
No,Travel_Rarely,R&D,Technical Degree,STAFF-469,Male,Research Scientist,Divorced,Yes,3,52,46-55,1,956,28,Very-far,Associates Degree,4,78,3,2,1,Very Satisfied,5577,22087,3,12,3,High,2,2,18,11.- 20,3,10,9,6,9
Yes,Non-Travel,Sales,Other,STAFF-470,Male,Sales Executive,Married,No,2,32,26-35,0,1474,21,Very-far,Master's Degree,4,60,4,2,3,Unsatisfied,4707,23914,8,12,3,High,4,0,6,0-10,3,4,2,1,2
No,Travel_Frequently,Sales,Medical,STAFF-471,Male,Sales Representative,Married,No,3,24,18-25,1,535,24,Very-far,Bachelor's Degree,4,38,3,1,4,utterly unsatisfied,2400,5530,0,13,3,High,3,2,3,0-10,3,2,2,2,1
No,Travel_Rarely,R&D,Medical,STAFF-472,Female,Healthcare Representative,Married,No,4,38,36-45,1,1495,10,Near-by,Bachelor's Degree,3,76,3,2,3,Unsatisfied,9824,22174,3,19,3,High,3,1,18,11.- 20,3,1,0,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-473,Female,Manufacturing Director,Married,No,2,37,36-45,1,446,17,Very-far,Master's Degree,2,65,3,2,2,Satisfied,6447,15701,6,12,3,High,2,1,8,0-10,2,6,5,4,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-474,Male,Research Director,Divorced,Yes,5,49,46-55,1,1245,18,Very-far,Master's Degree,4,58,2,5,3,Unsatisfied,19502,2125,1,17,3,High,3,1,31,30 Plus,3,31,9,0,9
No,Travel_Rarely,R&D,Medical,STAFF-475,Male,Research Scientist,Married,Yes,3,24,18-25,1,691,23,Very-far,Bachelor's Degree,2,89,4,1,4,utterly unsatisfied,2725,21630,1,11,3,High,2,2,6,0-10,3,6,5,1,4
No,Travel_Rarely,Sales,Marketing,STAFF-476,Male,Sales Executive,Married,No,5,26,26-35,1,703,28,Very-far,Associates Degree,1,66,3,2,2,Satisfied,6272,7428,1,20,4,Low,4,2,6,0-10,4,5,3,1,4
No,Travel_Rarely,R&D,Other,STAFF-477,Male,Laboratory Technician,Married,No,2,24,18-25,1,823,17,Very-far,Associates Degree,4,94,2,1,2,Satisfied,2127,9100,1,21,4,Low,4,1,1,0-10,3,1,0,0,0
No,Travel_Frequently,HR,Medical,STAFF-478,Male,Manager,Married,No,2,50,46-55,1,1246,33,Very-far,Bachelor's Degree,1,99,3,5,2,Satisfied,18200,7999,1,11,3,High,3,1,32,30 Plus,3,32,5,10,7
No,Travel_Rarely,Sales,Medical,STAFF-479,Male,Sales Representative,Married,No,1,25,18-25,1,622,13,Far,High School,2,40,3,1,3,Unsatisfied,2096,26376,1,11,3,High,3,0,7,0-10,3,7,4,0,6
Yes,Travel_Frequently,R&D,Life Sciences,STAFF-480,Female,Laboratory Technician,Married,Yes,4,24,18-25,0,1287,19,Very-far,Bachelor's Degree,1,55,3,1,3,Unsatisfied,2886,14168,1,16,3,High,4,1,6,0-10,3,6,3,1,2
Yes,Travel_Frequently,Sales,Life Sciences,STAFF-481,Male,Sales Representative,Married,No,2,30,26-35,0,448,27,Very-far,Master's Degree,2,74,2,1,1,Very Satisfied,2033,14470,1,18,3,High,3,1,1,0-10,4,1,0,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-482,Male,Research Scientist,Married,Yes,3,34,26-35,1,254,17,Very-far,Associates Degree,2,83,2,1,4,utterly unsatisfied,3622,22794,1,13,3,High,4,1,6,0-10,3,6,5,1,3
Yes,Travel_Rarely,Sales,Medical,STAFF-483,Male,Sales Executive,Divorced,No,2,31,26-35,0,1365,13,Far,Master's Degree,2,46,3,2,1,Very Satisfied,4233,11512,2,17,3,High,3,0,9,0-10,1,3,1,1,2
No,Travel_Rarely,R&D,Other,STAFF-484,Male,Laboratory Technician,Single,No,3,35,26-35,1,538,25,Very-far,Associates Degree,1,54,2,2,4,utterly unsatisfied,3681,14004,4,14,3,High,4,0,9,0-10,3,3,2,0,2
No,Travel_Rarely,Sales,Medical,STAFF-485,Male,Sales Executive,Divorced,No,4,31,26-35,1,525,28,Very-far,Master's Degree,1,66,4,2,4,utterly unsatisfied,5460,6219,4,22,4,Low,4,2,13,11.- 20,4,7,7,5,7
No,Travel_Rarely,R&D,Medical,STAFF-486,Female,Research Scientist,Divorced,No,5,27,26-35,1,798,28,Very-far,Master's Degree,1,66,2,1,3,Unsatisfied,2187,5013,0,12,3,High,3,2,6,0-10,2,5,3,0,3
No,Travel_Rarely,Sales,Marketing,STAFF-487,Male,Sales Executive,Married,Yes,3,37,36-45,1,558,24,Very-far,Bachelor's Degree,4,75,3,2,3,Unsatisfied,9602,3010,4,11,3,High,3,1,17,11.- 20,2,3,0,1,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-488,Female,Research Scientist,Single,No,0,20,18-25,1,959,17,Very-far,Bachelor's Degree,4,83,2,1,2,Satisfied,2836,11757,1,13,3,High,4,0,1,0-10,4,1,0,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-489,Female,Healthcare Representative,Married,No,4,42,36-45,1,622,24,Very-far,Master's Degree,3,81,3,2,4,utterly unsatisfied,4089,5718,1,13,3,High,2,2,10,0-10,3,10,2,2,2
No,Travel_Rarely,R&D,Other,STAFF-490,Male,Research Director,Divorced,Yes,3,43,36-45,1,782,28,Very-far,Master's Degree,2,50,2,4,4,utterly unsatisfied,16627,2671,4,14,3,High,3,1,21,21-30,2,1,0,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-491,Female,Research Scientist,Single,No,3,38,36-45,1,362,17,Very-far,High School,3,43,3,1,1,Very Satisfied,2619,14561,3,17,3,High,4,0,8,0-10,2,0,0,0,0
No,Travel_Frequently,R&D,Medical,STAFF-492,Male,Laboratory Technician,Divorced,Yes,3,43,36-45,1,1001,19,Very-far,Doctoral Degree,4,72,3,2,3,Unsatisfied,5679,19627,3,13,3,High,2,1,10,0-10,3,8,7,4,7
No,Travel_Rarely,R&D,Life Sciences,STAFF-493,Female,Manager,Married,No,3,48,46-55,1,1236,17,Very-far,Master's Degree,4,40,2,4,1,Very Satisfied,15402,17997,7,11,3,High,1,1,21,21-30,1,3,2,0,2
No,Travel_Rarely,HR,Life Sciences,STAFF-494,Female,Human Resources,Single,No,1,44,36-45,1,1112,17,Very-far,Master's Degree,1,50,2,2,3,Unsatisfied,5985,26894,4,11,3,High,2,0,10,0-10,4,2,2,0,2
No,Travel_Rarely,Sales,Technical Degree,STAFF-495,Female,Sales Representative,Divorced,Yes,3,34,26-35,1,204,14,Far,Bachelor's Degree,3,31,3,1,3,Unsatisfied,2579,2912,1,18,3,High,4,2,8,0-10,3,8,2,0,6
Yes,Travel_Rarely,Sales,Marketing,STAFF-496,Male,Sales Representative,Divorced,No,3,27,26-35,0,1420,24,Very-far,High School,3,85,3,1,1,Very Satisfied,3041,16346,0,11,3,High,2,1,5,0-10,3,4,3,0,2
No,Travel_Rarely,Sales,Technical Degree,STAFF-497,Male,Sales Representative,Single,No,2,21,18-25,1,1343,22,Very-far,High School,3,49,3,1,3,Unsatisfied,3447,24444,1,11,3,High,3,0,3,0-10,3,3,2,1,2
No,Travel_Rarely,R&D,Other,STAFF-498,Male,Manager,Married,Yes,2,44,36-45,1,1315,33,Very-far,Master's Degree,4,35,3,5,4,utterly unsatisfied,19513,9358,4,12,3,High,1,1,26,21-30,4,2,2,0,1
No,Travel_Rarely,R&D,Medical,STAFF-499,Male,Research Scientist,Married,No,3,22,18-25,1,604,28,Very-far,High School,1,69,3,1,3,Unsatisfied,2773,12145,0,20,4,Low,4,0,3,0-10,3,2,2,2,2
No,Travel_Rarely,Sales,Marketing,STAFF-500,Male,Sales Executive,Divorced,No,3,33,26-35,1,1216,8,Near-by,Master's Degree,3,39,3,2,3,Unsatisfied,7104,20431,0,12,3,High,4,0,6,0-10,3,5,0,1,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-501,Female,Research Scientist,Married,Yes,2,32,26-35,1,646,19,Very-far,Master's Degree,1,92,3,2,4,utterly unsatisfied,6322,18089,1,12,3,High,4,1,6,0-10,2,6,4,0,5
No,Travel_Frequently,R&D,Medical,STAFF-502,Female,Research Scientist,Divorced,No,2,30,26-35,1,160,33,Very-far,Bachelor's Degree,3,71,3,1,3,Unsatisfied,2083,22653,1,20,4,Low,3,1,1,0-10,3,1,0,0,0
No,Travel_Rarely,Sales,Medical,STAFF-503,Female,Sales Executive,Single,No,2,53,46-55,1,238,17,Very-far,High School,4,34,3,2,1,Very Satisfied,8381,7507,7,20,4,Low,4,0,18,11.- 20,4,14,7,8,10
No,Travel_Rarely,R&D,Life Sciences,STAFF-504,Male,Research Scientist,Married,No,4,34,26-35,1,1397,17,Very-far,Doctoral Degree,2,42,3,1,4,utterly unsatisfied,2691,7660,1,12,3,High,4,1,10,0-10,2,10,9,8,8
Yes,Travel_Frequently,Sales,Life Sciences,STAFF-505,Female,Sales Executive,Married,No,4,45,36-45,0,306,26,Very-far,Master's Degree,1,100,3,2,1,Very Satisfied,4286,5630,2,14,3,High,4,2,5,0-10,3,1,1,0,0
No,Travel_Rarely,R&D,Life Sciences,STAFF-506,Female,Laboratory Technician,Married,Yes,2,26,26-35,1,991,28,Very-far,Bachelor's Degree,3,71,3,1,4,utterly unsatisfied,2659,17759,1,13,3,High,3,1,3,0-10,3,3,2,0,2
No,Travel_Rarely,R&D,Other,STAFF-507,Male,Manufacturing Director,Married,No,2,37,36-45,1,482,33,Very-far,Bachelor's Degree,3,36,3,3,3,Unsatisfied,9434,9606,1,15,3,High,3,1,10,0-10,3,10,7,7,8
No,Travel_Rarely,Sales,Medical,STAFF-508,Female,Sales Executive,Married,No,5,29,26-35,1,1176,33,Very-far,Associates Degree,2,62,3,2,3,Unsatisfied,5561,3487,1,14,3,High,1,1,6,0-10,2,6,0,1,2
No,Travel_Rarely,R&D,Life Sciences,STAFF-509,Male,Research Scientist,Single,No,3,35,26-35,1,1017,28,Very-far,Master's Degree,2,82,1,2,4,utterly unsatisfied,6646,19368,1,13,3,High,2,0,17,11.- 20,3,17,11,11,8
No,Travel_Frequently,R&D,Life Sciences,STAFF-510,Male,Healthcare Representative,Divorced,No,2,33,26-35,1,1296,28,Very-far,Bachelor's Degree,3,30,3,2,4,utterly unsatisfied,7725,5335,3,23,4,Low,3,1,15,11.- 20,1,13,11,4,7
No,Travel_Rarely,HR,Medical,STAFF-511,Male,Human Resources,Married,No,1,54,46-55,1,397,19,Very-far,Master's Degree,3,88,3,3,2,Satisfied,10725,6729,2,15,3,High,3,1,16,11.- 20,4,9,7,7,1
No,Travel_Rarely,R&D,Medical,STAFF-512,Male,Manufacturing Director,Divorced,Yes,2,36,36-45,1,913,19,Very-far,Associates Degree,2,48,2,2,2,Satisfied,8847,13934,2,11,3,High,3,1,13,11.- 20,3,3,2,0,2
No,Travel_Rarely,R&D,Medical,STAFF-513,Male,Research Scientist,Single,No,0,27,26-35,1,1115,33,Very-far,Master's Degree,1,54,2,1,4,utterly unsatisfied,2045,15174,0,13,3,High,4,0,5,0-10,3,4,2,1,1
Yes,Travel_Rarely,R&D,Medical,STAFF-514,Male,Research Scientist,Single,Yes,5,20,18-25,0,1362,10,Near-by,High School,4,32,3,1,3,Unsatisfied,1009,26999,1,11,3,High,4,0,1,0-10,3,1,0,1,1
Yes,Travel_Frequently,R&D,Life Sciences,STAFF-515,Male,Research Scientist,Single,Yes,3,33,26-35,0,1076,33,Very-far,Bachelor's Degree,1,70,3,1,1,Very Satisfied,3348,3164,1,11,3,High,1,0,10,0-10,3,10,8,9,7
No,Non-Travel,R&D,Life Sciences,STAFF-516,Male,Laboratory Technician,Married,No,3,35,26-35,1,727,33,Very-far,Bachelor's Degree,3,41,2,1,3,Unsatisfied,1281,16900,1,18,3,High,3,2,1,0-10,3,1,0,0,0
No,Travel_Rarely,R&D,Medical,STAFF-517,Male,Research Scientist,Married,No,3,23,18-25,1,885,4,Near-by,Bachelor's Degree,1,58,4,1,1,Very Satisfied,2819,8544,2,16,3,High,1,1,5,0-10,4,3,2,0,2
No,Travel_Rarely,Sales,Life Sciences,STAFF-518,Male,Sales Executive,Married,No,4,25,18-25,1,810,8,Near-by,Bachelor's Degree,4,57,4,2,2,Satisfied,4851,15678,0,22,4,Low,3,1,4,0-10,3,3,2,1,2
No,Travel_Rarely,Sales,Marketing,STAFF-519,Female,Sales Executive,Single,No,2,38,36-45,1,243,19,Very-far,Master's Degree,4,46,2,2,4,utterly unsatisfied,4028,7791,0,20,4,Low,1,0,8,0-10,3,7,7,0,5
No,Travel_Frequently,R&D,Life Sciences,STAFF-520,Male,Research Scientist,Divorced,No,5,29,26-35,1,806,17,Very-far,Master's Degree,2,76,1,1,4,utterly unsatisfied,2720,18959,1,18,3,High,4,1,10,0-10,3,10,7,2,8
No,Travel_Rarely,Sales,Marketing,STAFF-521,Male,Sales Executive,Married,No,3,48,46-55,1,817,24,Very-far,High School,2,56,4,2,2,Satisfied,8120,18597,3,12,3,High,4,0,12,11.- 20,3,2,2,2,2
No,Travel_Frequently,Sales,Medical,STAFF-522,Female,Sales Executive,Divorced,Yes,3,27,26-35,1,1410,33,Very-far,High School,4,71,4,2,4,utterly unsatisfied,4647,16673,1,20,4,Low,2,2,6,0-10,3,6,5,0,4
No,Travel_Rarely,R&D,Life Sciences,STAFF-523,Male,Research Scientist,Single,No,2,37,36-45,1,1225,10,Near-by,Associates Degree,4,80,4,1,4,utterly unsatisfied,4680,15232,3,17,3,High,1,0,4,0-10,3,1,0,0,0
No,Travel_Rarely,R&D,Medical,STAFF-524,Male,Laboratory Technician,Married,Yes,3,50,46-55,1,1207,28,Very-far,High School,4,74,4,1,3,Unsatisfied,3221,3297,1,11,3,High,3,3,20,11.- 20,3,20,8,3,8
No,Travel_Rarely,R&D,Medical,STAFF-525,Female,Healthcare Representative,Single,No,3,34,26-35,1,1442,19,Very-far,Bachelor's Degree,4,46,2,3,2,Satisfied,8621,17654,1,14,3,High,2,0,9,0-10,4,8,7,7,7
Yes,Travel_Rarely,Sales,Life Sciences,STAFF-526,Female,Sales Executive,Single,No,3,24,18-25,0,693,33,Very-far,Associates Degree,1,65,3,2,3,Unsatisfied,4577,24785,9,14,3,High,1,0,4,0-10,3,2,2,2,0
No,Travel_Rarely,R&D,Technical Degree,STAFF-527,Female,Healthcare Representative,Single,No,4,39,36-45,1,408,24,Very-far,Master's Degree,4,80,2,2,3,Unsatisfied,4553,20978,1,11,3,High,1,0,20,11.- 20,3,20,7,11,10
No,Travel_Rarely,Sales,Marketing,STAFF-528,Male,Sales Executive,Single,No,2,32,26-35,1,929,10,Near-by,Bachelor's Degree,4,55,3,2,4,utterly unsatisfied,5396,21703,1,12,3,High,4,0,10,0-10,2,10,7,0,8
Yes,Travel_Frequently,Sales,Technical Degree,STAFF-529,Male,Sales Executive,Married,Yes,4,50,46-55,0,562,8,Near-by,Associates Degree,2,50,3,2,3,Unsatisfied,6796,23452,3,14,3,High,1,1,18,11.- 20,3,4,3,1,3
No,Travel_Rarely,R&D,Life Sciences,STAFF-530,Female,Healthcare Representative,Single,No,4,38,36-45,1,827,17,Very-far,Master's Degree,2,33,4,2,4,utterly unsatisfied,7625,19383,0,13,3,High,3,0,10,0-10,2,9,7,1,8
No,Travel_Rarely,R&D,Life Sciences,STAFF-531,Female,Manufacturing Director,Married,No,3,27,26-35,1,608,17,Very-far,Associates Degree,3,68,3,3,1,Very Satisfied,7412,6009,1,11,3,High,4,0,9,0-10,3,9,7,0,7
No,Travel_Rarely,R&D,Life Sciences,STAFF-532,Female,Research Director,Single,No,6,32,26-35,1,1018,33,Very-far,Associates Degree,3,39,3,3,4,utterly unsatisfied,11159,19373,3,15,3,High,4,0,10,0-10,3,7,7,7,7
No,Travel_Rarely,Sales,Marketing,STAFF-533,Male,Sales Executive,Single,No,2,47,46-55,1,703,14,Far,Master's Degree,4,42,3,2,1,Very Satisfied,4960,11825,2,12,3,High,4,0,20,11.- 20,3,7,7,1,7
No,Travel_Frequently,Sales,Life Sciences,STAFF-534,Male,Sales Executive,Married,Yes,2,40,36-45,1,580,33,Very-far,Master's Degree,4,48,2,3,1,Very Satisfied,10475,23772,5,21,4,Low,3,1,20,11.- 20,3,18,13,1,12
No,Travel_Rarely,R&D,Life Sciences,STAFF-535,Male,Research Director,Married,No,3,53,46-55,1,970,19,Very-far,Bachelor's Degree,3,59,4,4,3,Unsatisfied,14814,13514,3,19,3,High,3,0,32,30 Plus,3,5,1,1,3
No,Travel_Rarely,HR,Human Resources,STAFF-536,Male,Manager,Divorced,No,2,41,36-45,1,427,10,Near-by,Master's Degree,2,73,2,5,4,utterly unsatisfied,19141,8861,3,15,3,High,2,3,23,21-30,2,21,6,12,6
No,Travel_Rarely,Sales,Marketing,STAFF-537,Male,Sales Executive,Single,No,1,60,55 Plus,1,1179,16,Very-far,Master's Degree,1,84,3,2,1,Very Satisfied,5405,11924,8,14,3,High,4,0,10,0-10,3,2,2,2,2
No,Travel_Frequently,R&D,Life Sciences,STAFF-538,Male,Manufacturing Director,Divorced,No,4,27,26-35,1,294,10,Near-by,Associates Degree,4,32,3,3,1,Very Satisfied,8793,4809,1,21,4,Low,3,2,9,0-10,2,9,7,1,7
No,Travel_Rarely,HR,Human Resources,STAFF-539,Male,Manager,Married,No,3,41,36-45,1,314,17,Very-far,Bachelor's Degree,4,59,2,5,3,Unsatisfied,19189,19562,1,12,3,High,2,1,22,21-30,3,22,7,2,10
No,Travel_Rarely,Sales,Marketing,STAFF-540,Male,Sales Representative,Married,No,2,50,46-55,1,316,8,Near-by,Master's Degree,4,54,3,1,2,Satisfied,3875,9983,7,15,3,High,4,1,4,0-10,3,2,2,2,2
Yes,Travel_Rarely,R&D,Life Sciences,STAFF-541,Female,Research Scientist,Single,Yes,4,28,26-35,0,654,17,Very-far,Associates Degree,1,67,1,1,2,Satisfied,2216,3872,7,13,3,High,4,0,10,0-10,3,7,7,3,7
No,Non-Travel,R&D,Life Sciences,STAFF-542,Female,Research Director,Married,No,2,36,36-45,1,427,8,Near-by,Bachelor's Degree,1,63,4,3,1,Very Satisfied,11713,20335,9,14,3,High,1,1,10,0-10,3,8,7,0,5
No,Travel_Rarely,R&D,Life Sciences,STAFF-543,Female,Manufacturing Director,Single,Yes,4,38,36-45,1,168,17,Very-far,Bachelor's Degree,3,81,3,3,3,Unsatisfied,7861,15397,4,14,3,High,4,0,10,0-10,4,1,0,0,0
No,Non-Travel,R&D,Medical,STAFF-544,Male,Laboratory Technician,Single,No,5,44,36-45,1,381,24,Very-far,Bachelor's Degree,1,49,1,1,3,Unsatisfied,3708,2104,2,14,3,High,3,0,9,0-10,3,5,2,1,4
No,Travel_Frequently,Sales,Medical,STAFF-545,Female,Sales Executive,Divorced,Yes,2,47,46-55,1,217,33,Very-far,Bachelor's Degree,4,49,3,4,3,Unsatisfied,13770,10225,9,12,3,High,4,2,28,21-30,2,22,2,11,13
No,Travel_Rarely,Sales,Marketing,STAFF-546,Male,Sales Executive,Divorced,No,2,30,26-35,1,501,27,Very-far,Doctoral Degree,3,99,3,2,4,utterly unsatisfied,5304,25275,7,23,4,Low,4,1,10,0-10,2,8,7,7,7
